name,brand,price
Apple ,IPhone 7 Plus 5.5'' Inch 128GB+3GB-12MP+7MP With Fingerprint Smartphone (Refurbished)-Rose Gold,"₦ 149,999 "
Apple ,Refurbished 6 A1549 / A1586 1GB RAM 64GB ROM No Finger Sensor,"₦ 70,080 "
Apple ,IPhone 7 256GB 4.7 Inch Quad Core IOS 10 12MP Camera Smartphone(Black),"₦ 114,650 "
Apple ,IPhone 6S 32GB 4.7 Inch IOS Smartphone (Refurbished) - Black,"₦ 73,800 "
Apple ,IPhone 6S Plus Mobile Phone 16GB 5.5 Inch IOS 9.0 Smartphone(Gold),"₦ 94,900 "
Apple ,IPhone 4 16GB 5MP Refurbished Memory 99% New,"₦ 45,999 "
Apple ,Apple Refurbished  IOS Phones IPhone 7 Plus 128GB 99%New Mobile Phones - Black,"₦ 125,500 "
Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM)IOS 11(12MP+12MP)+7MP 4G LTE Smartphone-Grey","₦ 367,000 "
Apple ,Apple Refurbished  IOS Phones IPhone 7 Plus 128GB 99%New Mobile Phones - Black,"₦ 125,500 "
Apple ,Apple Refurbished  IOS Phones IPhone 7 Plus 128GB 99%New Mobile Phones - Gold,"₦ 125,500 "
Apple ,"Refurbished IPhone 7 4.7-Inch HD (2GB, 128GB ROM) IOS 12 12MP + 7MP 99%New Smartphone - Black","₦ 89,900 "
Apple ,"IPhone 6 Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Silver","₦ 54,500 "
Apple ,"IPhone 6 Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Black","₦ 54,800 "
Apple ,"Refurbished IPhone 7 4.7-Inch HD (2GB, 128GB ROM) IOS 12 12MP + 7MP 99%New Smartphone - Gold","₦ 89,900 "
Apple ,IPhone 7 4.7 Inch Refurbished Smartphone 128GB - Silver,"₦ 94,100 "
Apple ,"IPhone 6 Plus 16 GB 5.5"" IOS 4G Smartphone With Fingerprint Sensor(Refurbished)-Black","₦ 54,500 "
Apple ,IPhone 5S 32GB Black 4G LTE Without Fingerprint (Refurbishment) 4-inch Screen (Gift：accessories) (Refurbiished),"₦ 29,000 "
